"par1","par2","par3","",""
0.999999999999995,0.925070929402544,19.9999999657855,8.74033698717589,1
1,0.0498277766766083,19.9999999999994,23.2529395389616,2
0.734857592575229,0.733026759946463,20,8.30425664751665,3
0.972208417326076,0.532715754206642,5.79200972585545,15.678186956308,4
1,0.0169312082570842,19.9999999999953,30.10171853416,5
1,0.923010850343543,20,14.2594250344786,6
0.999999997484234,1,19.9999999816467,10.3972077764173,7
0.999999998569061,1,19.999999997584,9.01091341941967,8
1,1,1.50407741739921,28.452891581831,9
0.999999998749158,1,19.9999999974102,7.62461906242209,10
1,1,2.60268973817265,20.4474857570099,11
0.999999999283762,1,19.9999999977335,15.2492380259088,12
0.99999999820475,1,19.9999999809071,11.090354954916,13
0.999999999576174,1,19.9999999774711,10.3972077764173,14
0.999999990491159,1,19.9999999594617,6.9314718839233,15
0.999999998045922,0.999999999890058,19.9999999652233,11.7835021334148,16
1,0.0566231913810967,19.9999999999998,27.3075302762455,17
1,0.0476739576214267,19.9999999999998,25.746954574969,18
0.999999998436026,1,19.9999999627565,13.1697964904124,19
0.999999998825486,1,19.9999999932175,16.6355323829064,20
0.999999997853314,1,19.9999999849471,7.62461906242209,21
0.999999999999993,0.999999999999998,0.747214418896904,31.4453080959163,22
1,1,1.04145387614876,30.529862816045,23
1,0.677223345006408,9.41868345181553,9.27794009863357,24
0.322660498621057,3.56411989671142e-12,4.77443189219227e-06,33.2710646668773,25
1,0.770271933366176,8.91653300380931,13.3399641541279,26
0.999999997183825,0.99999999944258,19.9999999834797,6.9314718839233,27
0.999999999884796,1,19.9999999305013,11.7835021334148,28
0.0608221403430898,1,19.9999999999997,18.3369368270967,29
1,1,3.58351898760326,12.2218999695757,30
0.999999997574989,1,19.99999997529,12.4766493119136,31
0.999999996887296,1,19.9999999634709,15.2492380259088,32
1,0.964050258251906,19.9999999370585,10.9204559579199,33
1,1,0.916290722675509,31.2786352354089,34
0.999999999531378,0.941666614318959,19.9999999989569,6.40822385599018,35
1,1,1.38629433154698,28.4524457413334,36
0.999999999999999,0.0495482297378099,19.9999999999995,27.0770884345733,37
1,0.491063153491049,6.14652900279555,15.5618711586271,38
0.999999994080962,1,19.9999999477817,8.31776624092088,39
1,1,2.80336035091231,16.677051609895,40
0.999999999999998,0.941666617576584,19.9999999741504,9.18081259588044,41
0.28632603954582,0.911801996228489,19.9999999999999,8.8446324076215,42
0.0991745087314323,1,19.9999999999992,14.7499443670127,43
1,1,0.485507835804608,32.6700710868717,44
0.282589060394913,0.89116044287336,20,8.93438882807047,45
0.999999997679243,0.999999999475835,19.9999999737641,9.01091341941967,46
0.999999999999993,0.964050261278404,19.9999999372137,9.3642625642349,47
0.999999999899081,1,19.9999999430757,13.1697964904124,48
0.49924335947242,0.642743278551605,9.51266018179346,10.1633772699119,49
1,1,2.14006616429127,26.4946876303252,50
